IPFColor1_0,IPFColor1_1,IPFColor1_2
227,223,255
255,237,246
253,255,252
205,255,252
255,243,240
218,193,255
255,227,247
229,255,229
249,234,255
233,255,229
255,94,189
255,125,218
255,121,160
255,186,193
255,206,177
255,170,168
255,229,169
255,159,190
255,176,191
255,219,197
253,164,255
255,198,237
255,174,209
255,144,252
255,155,240
255,164,217
255,189,226
255,211,219
255,117,218
255,192,181
255,147,229
125,255,113
103,255,82
99,255,82
125,255,93
83,255,113
117,255,82
116,255,122
81,255,93
109,255,103
96,255,113
87,255,70
107,255,56
104,255,93
69,255,56
138,255,122
81,255,132
110,255,82
104,255,93
102,255,132
118,255,113
72,255,93
103,255,113
134,255,141
103,255,113
255,158,135
255,156,147
255,193,173
255,138,164
255,166,189
255,185,158
255,187,185
255,226,167
255,173,171
255,210,124
255,156,162
255,185,102
255,194,166
255,145,86
255,167,117
255,182,120
255,181,134
255,197,109
255,154,139
255,189,154
255,146,138
48,255,141
17,255,122
33,255,169
18,255,160
18,255,132
50,255,160
65,255,122
18,255,141
32,255,150
60,255,132
18,255,150
37,255,82
33,255,169
104,255,93
98,255,70
255,137,129
255,163,133
255,187,131
255,146,113
255,170,94
255,159,100
255,145,119
255,189,76
255,153,145
255,170,107
255,142,122
255,121,109
255,141,133
255,162,107
255,177,71
255,173,115
255,166,157
255,161,89
255,173,108
255,96,208
255,58,233
237,76,255
255,53,212
255,84,245
255,90,235
255,85,220
252,87,255
252,76,255
255,47,247
234,63,255
255,74,216
248,87,255
255,97,228
255,96,208
250,48,255
222,76,255
255,73,245
249,255,208
214,193,255
194,234,255
181,164,255
255,247,244
239,213,255
206,193,255
255,252,249
204,255,229
255,81,210
255,67,175
255,115,189
255,93,163
255,119,208
255,81,176
255,229,178
255,190,188
255,186,193
255,213,183
255,223,200
255,96,250
255,172,216
255,186,222
237,173,255
255,189,226
255,143,221
241,155,255
255,191,218
255,184,200
255,175,243
255,148,218
120,255,103
78,255,103
118,255,113
130,255,103
97,255,93
118,255,93
97,255,93
113,255,103
118,255,93
135,255,93
